date;real;green_full;blue_full;blue_dashed;red_dot;red_full;red_dashed;red_dot_90;red_full_90;red_dashed_90;vacc_red_dashed;vacc_red_line;vacc_red_dot;vacc_blue_dashed;vacc_blue_line;vacc_gree_line
15/12/2021;;11;59;87;167;336;472;257;726;499;714;483;232;96;72;8
16/12/2021;;6;63;87;170;346;505;262;758;520;742;501;237;105;72;8
17/12/2021;;6;61;89;174;359;546;266;795;543;781;516;242;113;73;8
18/12/2021;;6;58;93;178;368;563;266;839;561;821;530;242;116;68;9
19/12/2021;;6;58;97;182;382;579;272;880;572;856;552;247;120;69;3
20/12/2021;;6;58;93;183;393;596;280;926;598;897;580;253;123;73;0
21/12/2021;;6;58;95;185;403;606;289;948;615;926;600;260;126;72;0
22/12/2021;;8;58;97;189;418;653;296;994;641;972;618;265;129;72;8
23/12/2021;;10;58;96;189;427;674;295;1030;661;1009;638;273;129;72;8
24/12/2021;;6;64;96;192;443;675;305;1046;684;1064;663;278;137;72;5
25/12/2021;;6;61;99;196;454;709;311;1111;716;1121;683;285;136;72;-1
26/12/2021;;6;61;100;200;467;754;317;1183;736;1174;719;292;135;72;0
27/12/2021;;6;61;103;204;481;781;324;1244;761;1207;742;299;143;72;-1
28/12/2021;;7;61;103;207;496;796;330;1264;783;1249;768;304;145;80;8
29/12/2021;;4;61;;210;510;804;340;1288;811;1278;787;;;89;7
30/12/2021;;9;61;;;524;856;;1383;838;1340;815;;;86;-1
31/12/2021;;6;59;;;539;904;;1458;870;1410;843;;;79;0
01/01/2022;;7;61;;;551;910;;1470;894;1461;869;;;84;0
