date,blue_full_60,blue_dashed_60,orange_full_60,orange_dashed_60,purple_full_60,purple_dashed_60,blue_full_40,blue_dashed_40,orange_full_40,orange_dashed_40,purple_full_40,purple_dashed_40,reality_report,reality
2021-05-31,679,968,868,1206,773,1086,589,833,735,1046,660,917,NA,369
2021-06-01,675,945,879,1228,773,1056,571,809,730,1036,647,895,NA,354
2021-06-02,662,927,892,1250,773,1046,557,805,727,1024,635,895,NA,340
2021-06-03,657,922,897,1274,773,1075,539,770,719,1012,625,877,NA,327
2021-06-04,648,908,917,1293,773,1079,521,728,718,1001,613,853,NA,313
2021-06-05,636,895,925,1292,772,1082,503,694,712,994,596,841,NA,301
2021-06-06,628,880,935,1309,764,1072,489,683,711,983,586,848,NA,288
2021-06-07,621,885,945,1317,765,1072,473,662,699,973,577,847,NA,276
2021-06-08,612,864,954,1326,765,1067,457,640,689,962,561,835,NA,263
2021-06-09,603,845,963,1336,764,1062,439,625,681,949,548,830,NA,251
2021-06-10,593,823,972,1335,757,1058,424,552,672,947,538,766,NA,239
2021-06-11,581,801,982,1332,759,1049,411,526,668,927,527,752,NA,227
2021-06-12,572,782,994,1331,768,1053,401,514,665,902,517,716,NA,215
2021-06-13,563,765,1003,1340,769,1051,382,517,658,877,517,697,NA,204
2021-06-14,554,765,1012,1364,765,1047,373,509,651,854,508,694,NA,193
2021-06-15,546,756,1022,1385,756,1043,362,495,646,874,495,679,NA,182
2021-06-16,537,752,1039,1410,752,1039,349,481,642,874,481,660,NA,172
2021-06-17,531,757,1050,1428,757,1035,340,468,638,865,469,641,NA,163
2021-06-18,527,760,1063,1439,756,1032,332,460,635,868,460,625,NA,155
2021-06-19,521,739,1082,1461,756,1033,322,451,634,863,455,620,NA,147
2021-06-20,513,719,1096,1466,756,1033,310,446,628,865,446,609,NA,140
2021-06-21,511,699,1109,1486,756,1028,301,436,627,869,440,600,NA,134
2021-06-22,505,678,1123,1510,761,1025,295,414,623,858,432,587,NA,128
2021-06-23,498,677,1142,1531,765,1027,287,402,623,844,423,581,NA,123
2021-06-24,497,668,1155,1547,765,1024,281,395,616,830,415,562,NA,118
2021-06-25,488,662,1169,1554,765,1021,272,383,611,818,409,551,NA,114
2021-06-26,483,653,1182,1563,765,1018,264,379,610,803,404,539,NA,111
2021-06-27,479,NA,1192,1572,765,1015,262,388,605,806,394,527,NA,108
2021-06-28,471,NA,1204,1585,765,1012,249,389,603,798,390,517,NA,105
2021-06-29,464,NA,1216,NA,765,1010,245,NA,595,789,384,506,NA,102
2021-06-30,460,NA,1230,NA,765,1008,236,NA,591,784,376,501,NA,99
2021-07-01,451,NA,1240,NA,761,1004,229,NA,588,775,370,491,NA,97
