date,green_full,blue_full,blue_dashed,red_dot,red_full,red_dashed,red_dot_90,red_full_90,red_dashed_90,vacc_red_dashed,vacc_red_line,vacc_red_dot,vacc_blue_dashed,vacc_blue_line,vacc_gree_line,reality_report,reality
2021-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444,421.2857142857143
2021-09-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415,413.85714285714283
2021-09-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,401
2021-09-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399,395.42857142857144
2021-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,388
2021-09-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362,359.57142857142856
2021-09-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,330.7142857142857
2021-09-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338,317.42857142857144
2021-09-12,313,313,313,313,313,313,313,313,313,NA,NA,NA,NA,NA,NA,313,293.14285714285717
2021-09-13,303,303,303,303,303,303,303,303,303,NA,NA,NA,NA,NA,NA,303,275.57142857142856
2021-09-14,294,294,294,294,294,294,294,294,294,NA,NA,NA,NA,NA,NA,294,262.7142857142857
2021-09-15,281,281,281,281,281,281,281,281,281,NA,NA,NA,NA,NA,NA,281,253.71428571428572
2021-09-16,268,268,268,268,268,268,268,268,268,NA,NA,NA,NA,NA,NA,268,244.14285714285717
2021-09-17,252,252,252,252,252,252,252,252,252,NA,NA,NA,NA,NA,NA,252,246.42857142857144
2021-09-18,244,244,244,244,244,244,244,244,244,NA,NA,NA,NA,NA,NA,244,232.14285714285717
2021-09-19,245,245,245,245,245,245,245,245,245,NA,NA,NA,NA,NA,NA,245,227.42857142857144
2021-09-20,239,239,239,239,239,239,239,239,239,NA,NA,NA,NA,NA,NA,239,217.71428571428572
2021-09-21,230,230,230,230,230,230,230,230,230,NA,NA,NA,NA,NA,NA,230,214.85714285714286
2021-09-22,218,218,218,218,218,218,218,218,218,NA,NA,NA,NA,NA,NA,218,210.42857142857142
2021-09-23,204,204,204,204,204,204,204,204,204,NA,NA,NA,NA,NA,NA,204,203.42857142857142
2021-09-24,195,195,195,195,195,195,195,195,195,NA,NA,NA,NA,NA,NA,195,176.57142857142858
2021-09-25,194,194,194,194,194,194,194,194,194,NA,NA,NA,NA,NA,NA,194,167.71428571428572
2021-09-26,183,183,183,183,183,183,183,183,183,NA,NA,NA,NA,NA,NA,183,158.14285714285714
2021-09-27,185,185,185,185,185,185,185,185,185,NA,NA,NA,NA,NA,NA,185,151.14285714285714
2021-09-28,187,187,187,187,187,187,187,187,187,NA,NA,NA,NA,NA,NA,187,147.28571428571428
2021-09-29,187,187,187,187,187,187,187,187,187,NA,NA,NA,NA,NA,NA,NA,147.57142857142858
2021-09-30,187,187,187,187,187,187,187,187,187,NA,NA,NA,NA,NA,NA,NA,142.85714285714286
2021-10-01,151,151,151,151,151,151,151,151,151,NA,NA,NA,NA,NA,136,NA,142.42857142857142
2021-10-02,143,143,143,143,143,143,143,143,143,NA,NA,NA,NA,NA,128,NA,137.42857142857142
2021-10-03,136,136,136,136,136,136,136,136,136,NA,NA,NA,NA,NA,127,NA,133.28571428571428
2021-10-04,131,131,131,131,131,131,131,131,131,NA,NA,NA,NA,NA,116,NA,133.14285714285714
2021-10-05,126,126,126,126,126,126,126,126,126,NA,NA,NA,NA,NA,113,NA,130.42857142857142
2021-10-06,121,121,121,121,121,121,121,121,121,NA,NA,NA,NA,NA,106,NA,131.42857142857142
2021-10-07,116,116,116,116,116,116,116,116,116,NA,NA,NA,NA,NA,104,NA,123.28571428571428
2021-10-08,115,115,115,115,115,115,115,115,115,NA,NA,NA,NA,NA,96,NA,120.57142857142858
2021-10-09,109,109,109,109,109,109,109,109,109,NA,NA,NA,NA,NA,88,NA,122
2021-10-10,103,103,103,103,103,103,103,103,103,NA,NA,NA,NA,NA,89,NA,120.71428571428572
2021-10-11,101,101,101,101,101,101,101,101,101,NA,NA,NA,NA,NA,85,NA,120.14285714285714
2021-10-12,96,96,96,96,96,96,96,96,96,NA,NA,NA,NA,NA,74,NA,118.57142857142858
2021-10-13,94,94,94,94,94,94,94,94,94,NA,NA,NA,NA,NA,72,NA,115.85714285714286
2021-10-14,87,87,87,87,87,87,87,87,87,NA,NA,NA,NA,NA,72,NA,124.14285714285714
2021-10-15,80,80,80,80,80,80,80,80,80,NA,NA,NA,NA,NA,72,NA,131.71428571428572
2021-10-16,81,77,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,138.14285714285714
2021-10-17,74,74,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,151
2021-10-18,74,74,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,153.28571428571428
2021-10-19,71,71,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,163.71428571428572
2021-10-20,66,71,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,163.71428571428572
2021-10-21,64,66,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,163
2021-10-22,64,64,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,166.71428571428572
2021-10-23,61,64,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,168.42857142857142
2021-10-24,61,64,61,77,77,83,101,101,101,NA,NA,NA,NA,NA,59,NA,170.28571428571428
2021-10-25,56,61,57,77,77,82,101,101,101,NA,NA,NA,NA,NA,46,NA,179.85714285714286
2021-10-26,52,58,58,77,77,84,101,101,101,NA,NA,NA,NA,NA,48,NA,179.42857142857142
2021-10-27,52,58,58,77,77,86,101,101,101,NA,NA,NA,NA,47,48,NA,184.28571428571428
2021-10-28,49,55,58,77,77,89,101,101,101,NA,NA,NA,NA,56,48,NA,160.42857142857142
2021-10-29,45,55,58,80,77,92,100,100,100,72,72,NA,49,56,48,NA,173.71428571428572
2021-10-30,45,55,58,80,80,95,NA,107,107,72,72,NA,57,55,49,NA,200
2021-10-31,42,51,58,83,83,97,NA,108,108,73,73,NA,57,44,45,NA,208.42857142857142
2021-11-01,40,51,58,83,83,100,NA,107,107,70,70,NA,52,39,40,NA,215.71428571428572
2021-11-02,38,51,58,86,86,102,NA,112,112,84,84,79,48,46,34,NA,217.57142857142856
2021-11-03,38,51,58,92,92,108,NA,116,116,89,89,80,48,48,32,NA,218.28571428571428
2021-11-04,39,51,58,97,96,109,102,117,117,88,88,80,48,48,32,NA,270.42857142857144
2021-11-05,35,51,58,97,100,110,112,131,131,89,89,80,48,48,32,NA,269.57142857142856
2021-11-06,32,52,58,103,105,114,116,129,129,99,99,84,50,48,29,NA,261.85714285714283
2021-11-07,32,53,58,103,106,115,115,129,129,106,105,99,57,48,27,NA,247
2021-11-08,29,50,56,97,95,115,122,136,136,98,99,91,56,48,29,NA,252.42857142857144
2021-11-09,29,48,54,89,99,115,110,124,124,102,95,87,56,48,17,NA,259.14285714285717
2021-11-10,29,55,55,107,111,119,118,132,132,104,103,94,56,48,16,NA,262.42857142857144
2021-11-11,26,54,55,110,115,122,137,151,151,112,112,100,56,48,16,NA,280.7142857142857
2021-11-12,26,55,55,109,116,123,136,150,150,122,120,104,56,48,16,NA,318
2021-11-13,26,54,54,106,120,134,140,155,155,127,122,108,56,48,16,NA,335.57142857142856
2021-11-14,22,54,54,103,136,146,152,164,164,138,131,111,55,48,16,NA,377.2857142857143
